foodid,food_name,unit,kal,select_time
320,新世紀哈密瓜,100g,39,0
321,新疆哈蜜瓜,100g,28,0
322,甜瓜平均值(網紋洋香瓜),100g,37,0
323,七股香洋香瓜,100g,40,0
324,天香洋香瓜,100g,44,0
325,秋香洋香瓜,100g,34,0
326,紅寶石洋香瓜,100g,39,0
327,香華洋香瓜,100g,30,0
328,藍寶石洋香瓜,100g,34,0
329,土芒果,100g,54,0
330,芒果平均值(西洋種),100g,50,0
331,肯特芒果,100g,49,0
332,海頓芒果,100g,60,0
333,凱特芒果,100g,50,0
334,愛文芒果,100g,42,0
335,聖心芒果,100g,50,0
336,黑香芒果,100g,66,0
337,芒果平均值(新興種),100g,56,0
338,四季芒果,100g,60,0
339,玉文芒果,100g,62,0
340,金煌芒果,100g,52,0
341,金蜜芒果,100g,64,0
342,金興芒果,100g,41,0
343,香水芒果,100g,65,0
344,蓮花芒果,100g,47,0
345,荔枝平均值,100g,65,0
346,玉荷苞荔枝,100g,68,0
347,黑葉仔荔枝,100g,62,0
348,冷凍荔枝,100g,28,0
349,龍眼,100g,73,0
350,龍眼乾,100g,277,0
351,帶殼龍眼乾,100g,278,0
352,李子平均值(青皮黃肉),100g,48,0
353,加州青李,100g,47,0
354,翡翠李,100g,48,0
355,李子平均值(紅皮紅肉),100g,39,0
356,紅肉李(大),100g,41,0
357,紅肉李(小),100g,38,0
358,李子平均值(紅皮黃肉),100g,48,0
359,加州紅李(台灣),100g,45,0
360,加州紅李(進口),100g,60,0
361,加州蜜李(進口),100g,66,0
362,香水李,100g,36,0
363,桃接李(大),100g,38,0
364,桃接李(小),100g,36,0
365,蜜棗李(進口),100g,53,0
366,黃肉李,100g,35,0
367,黑李,100g,57,0
368,枇杷,100g,38,0
369,筆柿,100g,69,0
370,甜柿平均值,100g,57,0
371,富有甜柿(大雪山),100g,57,0
372,甜柿(進口),100g,57,0
373,牛心柿,100g,62,0
374,四周柿,100g,66,0
375,柿餅,100g,196,0
376,水蜜桃平均值,100g,39,0
377,水蜜桃,100g,40,0
378,甜蜜桃,100g,39,0
379,脆桃平均值,100g,44,0
380,白油桃,100g,37,0
381,玫瑰桃,100g,51,0
382,福壽桃,100g,47,0
383,鶯哥桃,100g,42,0
384,蟠桃,100g,45,0
385,胭脂梅,100g,35,0
386,西洋梨平均值,100g,53,0
387,西洋梨(青皮),100g,62,0
388,西洋梨(紅皮),100g,53,0
389,西洋梨(黃皮),100g,44,0
390,幸水梨,100g,34,0
391,大雪梨,100g,42,0
392,新世紀梨,100g,42,0
393,新興梨,100g,44,0
394,橫山梨,100g,47,0
395,豐水梨,100g,36,0
396,將軍蜜梨,100g,50,0
397,梨山蜜梨,100g,47,0
398,印度棗平均值(大),100g,43,0
399,印度棗(長形),100g,43,0
400,蜜棗(圓形),100g,44,0
401,珍珠蜜棗,100g,46,0
402,台灣土棗,100g,88,0
403,紅棗,100g,227,0
404,黑棗,100g,230,0
405,蘋果平均值(青皮),100g,49,0
406,青龍蘋果,100g,52,0
407,翠玉青蘋果,100g,46,0
408,翠玉青蘋果(帶皮),100g,54,0
409,美國五爪蘋果,100g,51,0
410,蘋果平均值(混色),100g,51,0
411,加拉蘋果,100g,55,0
412,津經蜜蘋果,100g,56,0
413,秋香蘋果,100g,45,0
414,富士蘋果,100g,49,0
415,富士蘋果(帶皮),100g,45,0
416,金冠蘋果,100g,49,0
417,櫻桃,100g,75,0
418,白櫻桃,100g,69,0
419,椪柑,100g,40,0
420,紅柑,100g,42,0
421,茂谷柑,100g,44,0
422,海梨桶柑,100g,44,0
423,高牆桶柑,100g,45,0
424,檸檬柑,100g,48,0
425,長果金柑,100g,56,0
426,圓果金柑,100g,32,0
427,圓果金柑汁(綠皮),100g,33,0
428,文旦,100g,33,0
429,白柚,100g,38,0
430,西施蜜柚,100g,40,0
431,甜橙平均值(普遍系),100g,46,0
432,柳橙,100g,43,0
433,香吉士(進口),100g,47,0
434,澳洲甜橙(進口),100g,46,0
435,青皮葡萄柚,100g,33,0
436,紅寶石葡萄柚(古坑),100g,37,0
437,黃皮葡萄柚(進口),100g,38,0
438,黃皮葡萄柚,100g,37,0
439,檸檬,100g,33,0
440,萊姆,100g,38,0
441,檸檬汁平均值,100g,31,0
442,檸檬汁(黃皮),100g,30,0
443,檸檬汁(綠皮),100g,31,0
444,萊姆汁,100g,34,0
445,紅甘蔗汁,100g,63,0
446,人心果,100g,83,0
447,可可椰子汁平均值,100g,18,0
448,可可椰子汁(屏東),100g,17,0
449,可可椰子汁(進口),100g,19,0
450,香瓜茄,100g,24,0
451,蛋黃果,100g,106,0
452,牛蒡,100g,84,0
453,胡蘿蔔平均值,100g,39,0
454,胡蘿蔔,100g,37,0
455,向陽二號胡蘿蔔,100g,44,0
456,澳洲胡蘿蔔(細長型),100g,34,0
457,黃胡蘿蔔,100g,42,0
458,冷凍胡蘿蔔,100g,13,0
459,根菾菜根,100g,34,0
460,白蘿蔔平均值,100g,18,0
461,白蘿蔔,100g,16,0
462,白蘿蔔(長形),100g,19,0
463,櫻桃蘿蔔,100g,11,0
464,青蘿蔔,100g,33,0
465,蘿蔔乾,100g,58,0
466,百合鱗片,100g,137,0
467,乾百合鱗片,100g,304,0
468,芋莖,100g,20,0
469,金針菜嫩莖,100g,24,0
470,草石蠶,100g,75,0
471,球莖甘藍,100g,20,0
472,孟宗竹筍,100g,40,0
473,熟桂竹筍,100g,21,0
474,桂竹筍片,100g,17,0
475,烏殼綠竹筍,100g,21,0
476,茭白筍,100g,20,0
477,麻竹筍,100g,21,0
478,冷凍麻竹筍,100g,17,0
479,麻竹筍干,100g,177,0
480,綠竹筍,100g,25,0
481,帶殼熟綠竹筍,100g,25,0
482,沙拉筍塊,100g,24,0
483,熟箭竹筍,100g,20,0
484,白蘆筍,100g,25,0
485,綠蘆筍平均值,100g,22,0
486,綠蘆筍,100g,22,0
487,澳洲綠蘆筍(粗短型),100g,20,0
488,綠蘆筍(細短型),100g,23,0
489,蘆筍花,100g,21,0
490,嫩莖萵苣,100g,16,0
491,嫩薑,100g,21,0
492,粉薑,100g,28,0
493,老薑,100g,53,0
494,檳榔嫩莖,100g,31,0
495,大蒜,100g,122,0
496,青蒜,100g,33,0
497,蒜苗,100g,54,0
498,薤,100g,10,0
499,青蔥平均值,100g,28,0
500,青蔥,100g,22,0
501,山東大蔥,100g,31,0
502,日本甜蔥,100g,33,0
503,宜蘭粉蔥,100g,27,0
504,白洋蔥,100g,42,0
505,紫洋蔥,100g,32,0
506,黃洋蔥,100g,42,0
507,紅蔥頭,100g,75,0
508,韮菜花,100g,24,0
509,韮菜,100g,23,0
510,韮菜黃,100g,16,0
511,九層塔,100g,28,0
512,小麥苗,100g,34,0
513,水菜(日本種),100g,11,0
